cond,disc,data
249,249,"[[0,0,0,0,1,1],[1,0,0,1]]"
249,6723,"[[2,-3,1,-2,0,1],[1,0,0,1]]"
249,593662261962890625,"[[26,-195,445,-193,-240,-55,-4],[1,0,0,1]]"
277,277,"[[0,-1,-1],[1,1,1,1]]"
277,277,"[[-6,11,-19,14,-9,1],[1]]"
295,295,"[[0,0,-1,-1],[1,0,0,1]]"
295,295,"[[-18,-95,-129,-3,10,-1],[1,1,1]]"
349,349,"[[0,-1,-1,-1,0,-1],[1,1,1,1]]"
353,353,"[[0,0,0,-1,1,-1],[1,0,1,1]]"
388,776,"[[0,0,-2,1,0,-1],[1,0,1,1]]"
388,203423744,"[[-98,71,31,-19,-6,1],[1,1,0,1]]"
389,353152263127862512233222078356981,"[[2185,-1081,1725,-483,477,-12,86],[0,0,1,1]]"
389,1220848638544469,"[[-114,704,-1098,22,10,1],[1,0,1]]"
389,389,"[[0,1,-8,-4,3,2],[0,1,0,1]]"
389,389,"[[0,1,2,2,1],[0,0,1,1]]"
394,394,"[[0,1,-3,-19,15,-4],[0,0,1,1]]"
394,3152,"[[0,-1],[0,0,1,1]]"
427,2989,"[[-4,-4,4,4,-1,-1],[1,0,0,1]]"
461,461,"[[-3,-3,2,1,-2,-1],[1,1,1,1]]"
464,464,"[[0,1,1,2,1,1],[0,1,0,1]]"
464,29696,"[[0,4,33,72,16,1],[0,0,1]]"
464,29696,"[[-3,-2,3,3,-1,-1],[0,1,0,1]]"
464,15204352,"[[-3,-26,-39,82,5,-20,-4],[]]"
464,498216206336,"[[0,1,-5,-13,-23,-16],[]]"
472,60416,"[[0,-8,5,-4,2,-1],[0,0,1,1]]"
472,1013612281856,"[[0,1,-10,17,24,16],[]]"
472,944,"[[0,1,-1,-2,0,1],[0,1,0,1]]"
523,523,"[[0,-1,-1,1,0,-1],[0,0,1,1]]"
523,523,"[[0,-1,-31,110,21,1],[0,0,1]]"
555,8325,"[[0,-3,-2,4,1,-2],[0,0,1,1]]"
574,293888,"[[1,-1,-3,-1,-1,-1],[0,1,1]]"
587,18420681990483,"[[14,-14,2,1,4,0,-1],[1,1,0,1]]"
587,587,"[[0,-1,-1],[1,1,0,1]]"
597,597,"[[0,1,2,3,2,1],[0,0,0,1]]"
603,126438707959704387,"[[5,-4,9,43,26,11,6],[0,1]]"
603,603,"[[0,1,0,-1,0,1],[0,1,0,1]]"
603,603,"[[0,-1,8,-4,4,-2],[0,1,0,1]]"
603,3956283,"[[-12,2,20,-1,-9,-1],[1,1]]"
603,233614554867,"[[-154,-27,3,10,2,-1],[1,1]]"
604,664105023176704,"[[0,-1,8,-35,16,-45,-26],[]]"
604,9664,"[[0,-1,1,1,-1],[1,0,0,1]]"
604,9664,"[[-21,52,-4,-49,9,-4],[1,1,1]]"
623,299685638045696,"[[0,-16,-15,-5,-13,-7],[]]"
623,247242151868665856,"[[-5041,-2404,-88,7,-12,1],[1,0,1]]"
633,2592768,"[[3,-6,1,-9,7,3],[0,1,0,1]]"
633,10619977728,"[[7,3,3,5,5,1],[]]"
633,624169258029642940416,"[[55,-14,36,72,-39,-4,1],[0,1,0,1]]"
644,75631689728,"[[7,13,3,3,13,7],[]]"
644,14812,"[[0,1,2,7,7,2],[0,1,1,1]]"
644,1154048,"[[-153,-129,24,28,-3,-1],[1,1,1]]"
688,704512,"[[0,2,0,4,1,2,1],[]]"
688,704512,"[[1,-2,-3,4,4,-2,-2],[]]"
688,2752,"[[0,-1,-2,0,0,-1],[1,1,1,1]]"
691,168701171875,"[[-41,-116,-26,97,1,-17,2],[0,1]]"
691,168701171875,"[[0,-1,-76,15,-3,1],[0,1]]"
691,691,"[[0,1,0,-1,-1],[0,0,1,1]]"
704,45056,"[[-1,-1,-2,1,1,-2],[1,1,1,1]]"
708,2832,"[[0,1],[0,1,1,1]]"
708,19116,"[[-1,4,4,0,0,-1],[1,0,0,1]]"
708,181248,"[[-15,78,-104,-13,17,0,-1],[0,1,1,1]]"
708,185597952,"[[-1,-8,-16,17,-5,-1],[1,1,1]]"
709,709,"[[0,1,0,0,-2,1],[0,0,1]]"
709,9813472625509,"[[0,-1,48,-186,40,-1],[0,0,1]]"
709,2772063123445338526741,"[[96,276,138,-70,133,-35,14],[1,1]]"
713,713,"[[0,1,0,-1],[1,0,1,1]]"
713,713,"[[0,0,-1,-1,0,-1],[1,0,1,1]]"
713,378917433,"[[-6,0,-13,12,-7,13,-7],[1,0,1,1]]"
731,12427,"[[-1,4,2,-1,-2],[0,1,0,1]]"
741,11196064711611,"[[-24,-19,27,17,-3,1],[1,0,1]]"
741,28899,"[[0,-3,-1,0,2,1],[0,0,1,1]]"
743,743,"[[0,-1,1,-1,-1],[1,1,0,1]]"
745,745,"[[0,-1],[1,1,0,1]]"
745,23378889408705,"[[-550,-122,-7,-41,-5,0,-1],[1,1,0,1]]"
760,62259200,"[[0,-2,-1,6,5,-4,-4],[]]"
760,16320875724800,"[[0,-16,24,15,-26,-1],[]]"
760,237500000000000,"[[-24,-53,-9,-1,-11,2,-1],[1,0,1]]"
762,3048,"[[1,-1,1,-1,0,-1],[0,1,1,1]]"
762,82296,"[[0,-1,2,14,-8,1],[0,1,1]]"
763,763,"[[0,0,-2,0,2,1],[1,0,1]]"
768,1536,"[[-1,-2,1,1,-2,-1],[1,1,1,1]]"
768,4608,"[[-1,-1,-1,-1],[1,1,1,1]]"
768,816293376,"[[-6,-3,28,5,-33,2],[1]]"
797,797,"[[0,1,-1,1],[0,0,0,1]]"
807,2421,"[[-1,2,-1,-2,0,1],[0,1,0,1]]"
807,1764909,"[[2,7,3,-5,-2,1],[1,1]]"
816,13872,"[[0,1,4,3,4,2],[0,1,0,1]]"
816,39168,"[[0,3,0,-4,-1,1],[0,1,0,1]]"
816,14619377664,"[[20,31,16,-2,4,-1],[1,1,1,1]]"
816,5328763158528,"[[-5,5,28,-23,-37,4],[1,1]]"
816,29261250000000000000000000,"[[-110,-100,135,150,155,100,30],[]]"
816,1459966080286384128614171370061824,"[[780,1612,-871,-1014,1053,416,-182],[]]"
826,11564,"[[3,4,-4,-4,1,-1],[0,1,1]]"
830,6640,"[[1,-1,-1,-1,-1],[0,1,1,1]]"
830,830000,"[[0,1,-2,16,8,1],[0,1,1]]"
830,13925089280,"[[-164,40,19,51,46,-25,-15],[]]"
832,1744830464,"[[0,-4,4,3,-6,-1],[]]"
832,218103808,"[[-1,8,-8,-32,-15,-4,-4],[]]"
832,218103808,"[[0,-8,-2,-8,-3,-2,-1],[]]"
832,832,"[[-1,2,1,-2,-1],[0,0,1,1]]"
834,1668,"[[-1,-1,-1,-1],[1,0,0,1]]"
834,23933976876,"[[-1,-10,-21,12,-2,1],[0,1,1]]"
834,3094850354282496,"[[0,1,-170,65,88,16],[]]"
834,36553593552609895428,"[[21,-80,54,48,-27,25,-3],[0,1,1]]"
847,9317,"[[-2,-1,0,1,1],[0,0,1,1]]"
847,3195731,"[[0,1,4,21,9,1],[0,1]]"
856,1712,"[[0,1,0,-1,-1],[0,1,0,1]]"
856,1838246002688,"[[0,-16,-8,55,34,-48,-35],[]]"
862,3702261809152,"[[-6,1,-22,11,-20,16],[1,1]]"
862,862,"[[0,-1,-2,1,2,-2],[0,0,1,1]]"
862,1941051439396683776,"[[0,-16,120,-257,-136,-16],[]]"
862,28246016,"[[0,-16,17,-8,8,-1,1],[0,0,1]]"
862,6896,"[[0,-1,2,1,-2,-1],[0,1,1]]"
862,862,"[[5,-2,7,6,-2,-1],[1,0,0,1]]"
886,3544,"[[1,1,0,0,-1],[0,1,0,1]]"
893,893,"[[0,-1,-1,-1,-1],[1,1,0,1]]"
893,768597126007080078125,"[[-324,422,-49,127,7,10,1],[1,1,0,1]]"
901,59886729001145627946533,"[[133,294,124,-25,15,-25,-2],[0,1,1,1]]"
903,20078801883,"[[-28,61,-25,-13,3,1],[1,0,1]]"
909,909,"[[0,1,1,0,-1],[0,1,0,1]]"
909,8181,"[[0,3,8,3,-3,-1],[0,0,1,1]]"
909,3169487020509,"[[-226,282,29,-81,-8,3],[1,1]]"
909,82548730961116749,"[[-124,298,-135,-49,8,1],[1,1]]"
924,254438080512,"[[12,3,-11,1,2,-2,-1],[1,1,1,1]]"
925,12552231886811034089716269063925,"[[2470,-1007,646,-779,147,-48,52],[0,0,1,1]]"
925,361328125,"[[0,1,-12,17,1,-1],[0,1]]"
925,23125,"[[0,-5,-7,4,3,-2],[0,1,0,1]]"
925,925,"[[0,0,-1,-1,2,-1],[1,1]]"
932,3728,"[[0,-1,0,0,-1,-1],[1,1,1,1]]"
953,953,"[[0,0,0,1,1],[1,0,1,1]]"
954,1520984142,"[[-5,3,-1,-3,0,1],[0,1,1,1]]"
954,41066571834,"[[-1,-6,-1,21,-28,9],[0,1,1]]"
954,389371940352,"[[16,36,56,35,15,-5],[0,1,1,1]]"
954,6229951045632,"[[11,45,-172,-9,67,0,-7],[0,1,0,1]]"
954,1520984142,"[[-2,6,-1,0,3,1],[0,1,1,1]]"
954,41066571834,"[[0,9,-16,6,17,-12,2],[0,1,1]]"
954,389371940352,"[[-11,-9,-4,14,6,1,-6],[0,1,1,1]]"
954,6229951045632,"[[9,-83,89,94,-75,-24,16],[1,1]]"
966,25832160398672712,"[[0,-7,72,139,18,-3],[0,1,1]]"
966,834624,"[[1,-1,1,1,-1,1],[0,1,1]]"
966,126615552,"[[0,16,1,-26,0,10,-1],[0,0,1,1]]"
970,1940,"[[0,-1,1,-1,1,-1],[0,0,1,1]]"
970,3104000,"[[1,3,0,-3,3,-1],[0,1]]"
971,971,"[[0,1,0,-2,0,1],[0,0,0,1]]"
975,63375,"[[-1,1,2,1,0,-1],[1,0,0,1]]"
975,7772324625,"[[-7,13,33,-42,-60,3],[1,1,1]]"
975,245366784000,"[[0,-5,10,9,-14,3],[]]"
976,999424,"[[1,2,0,-2,-1,-1],[0,0,1,1]]"
988,96164245405696,"[[0,-16,8,-13,1,-3,1],[0,0,0,1]]"
997,997,"[[0,1,1],[0,0,1,1]]"
997,997,"[[0,1,-2,2,-1],[0,0,0,1]]"
997,997,"[[0,1,0,-16,-8,-1],[0,1]]"
1012,3252315665655451648,"[[35,17,-68,-42,15,12,-4],[1,1,1]]"
1012,3793073152,"[[-12,21,-7,-6,2,1],[1,1,1]]"
1012,4048,"[[0,0,1,1,1,1],[1,0,0,1]]"
1026,215410752,"[[0,24,-17,-11,2,1],[0,1,1]]"
1026,471103314624,"[[-10,9,-9,-2,0,0,-1],[1,0,0,1]]"
1026,406583576202392578125000,"[[-79,32,-17,92,-54,-5,-35],[1,1,1]]"
1038,21630989789066156041120562688,"[[-190,610,-64,-600,-465,-154,-44],[1,1,1]]"
1038,1038,"[[0,-1,-12,-27,46,-21,3],[0,1,1]]"
1038,1038,"[[1,-1,2,-1,1],[1,0,0,1]]"
1038,87957593685982746,"[[10,26,-45,39,-20,9],[0,1,1]]"
1042,1042,"[[2,2,-1,-1,-1],[0,1,0,1]]"
1047,3141,"[[0,1],[0,1,0,1]]"
1051,1051,"[[0,1,0,16,8,1],[0,1]]"
1051,1051,"[[0,1,-1,0,0,-1],[0,0,1,1]]"
1051,1051,"[[0,-1,-2,-2,-1],[1,1,1,1]]"
1055,1055,"[[-1,1,1,-1,-1],[1,0,0,1]]"
1055,17699962880,"[[0,1,19,85,-67,-165,-59],[]]"
1055,553123840000,"[[-1,2,8,8,16,6,7],[]]"
1062,6372,"[[0,-1,-1,-1,1,1],[1,0,0,1]]"
1069,1069,"[[0,1,0,1],[0,1,1,1]]"
1070,2140,"[[0,-1,0,1],[1,0,0,1]]"
1070,1095680000,"[[0,16,1,6,1],[0,0,1,1]]"
1070,35903242240,"[[-20,72,-69,33,-75,16,64],[]]"
1077,1077,"[[-1,15,-79,38,14,1],[1]]"
1077,1077,"[[-1,1,-1,-2,-1],[1,1,1,1]]"
1077,1998293664006144,"[[11,74,98,-93,-20,16],[0,1]]"
1077,63298653548544,"[[0,16,-95,142,-7,-1],[0,0,1]]"
1077,15453772839,"[[0,1,10,32,-10,1],[1,1,1]]"
1077,1077,"[[-4,-24,-46,-16,19,-4],[1,0,0,1]]"
1077,1077,"[[0,0,1,1,2,1],[1,0,0,1]]"
1077,4517265408,"[[11,-8,7,8,-3,2,2],[]]"
1091,1091,"[[0,-1,0,1,-1,-1],[0,1,1,1]]"
1094,2188,"[[0,0,1,-1,-1],[1,0,0,1]]"
1104,222264557568,"[[0,2,18,-80,-48,200,152],[]]"
1104,222264557568,"[[0,2,8,-4,-8,-6],[]]"
1104,17664,"[[1,2,1,-2,-4,-3,-1],[]]"
1104,7630848,"[[-4,-8,1,2,-1],[0,0,0,1]]"
1104,1105009264034718414360576,"[[-100,-305,-314,-302,-76,31,-2],[1,1,1,1]]"
1104,222264557568,"[[0,-2,-18,80,48,-200,-152],[]]"
1104,222264557568,"[[0,-2,-8,4,8,6],[]]"
1109,1109,"[[0,1,-1,-1,1,1],[0,0,0,1]]"
1109,1109,"[[-1,-1,1,1,-1,-1],[0,0,1,1]]"
1109,15349987505909,"[[-4,-14,-15,-24,-18,-9,-2],[1]]"
1109,1109,"[[-36,-63,-6,36,-6,-1],[1]]"
1116,214272,"[[0,-1,1,2,1],[1,0,0,1]]"
1122,2244,"[[1,-1,-4,1,4,1],[0,1,1]]"
1122,78155192991744,"[[-11,-33,6,48,-10,-1],[0,1,1]]"
1123,1123,"[[0,1,-1,0,-1],[0,1,0,1]]"
1123,596808243,"[[-24,-14,21,14,1,1],[1,0,1]]"
