labels,data
395446.a.395446.1,"[[0, 0, -1, 2, 1], [1, 0, 0, 1]]"
395475.a.395475.1,"[[0, -1, 4, 1, 2], [1, 0, 1, 1]]"
395475.b.395475.1,"[[7, 9, -2, -6, -1, 1], [0, 0, 0, 1]]"
395494.a.395494.1,"[[-3, 0, 2, 0, -1], [1, 0, 0, 1]]"
395551.a.395551.1,"[[-1, -1, -1, 0, -1, 1], [1, 1, 1]]"
395589.a.395589.1,"[[-1, 0, 2, 0, -1, 1, 1], [1, 1]]"
395594.a.791188.1,"[[0, 2, 7, 4, -7, 1], [1, 1]]"
395597.a.395597.1,"[[-1, 4, -6, 1, 4, 1], [0, 1, 1]]"
395600.a.395600.1,"[[-1, 2, -3, 4, -2, 2], [0, 1, 0, 1]]"
395645.a.395645.1,"[[1, -5, -3, 8, 0, -4, 1], [1, 0, 0, 1]]"
395650.a.791300.1,"[[1, -1, -5, 1, 7, 3], [0, 1, 0, 1]]"
395650.b.791300.1,"[[1, 5, 0, -17, 4, 1], [0, 1, 1]]"
395683.a.395683.1,"[[0, -1, -7, -1, 3, 1], [0, 1]]"
395688.a.791376.1,"[[-8, 6, 8, 9, 3, 1], [0, 0, 1]]"
395720.a.791440.1,"[[1, 3, 1, -4, -1, 0, 1], [1]]"
395766.a.791532.1,"[[-1, 3, -3, 1, 0, -1], [1, 0, 0, 1]]"
395776.a.395776.1,"[[1, -1, -1, 0, 0, -1], [1, 1, 1, 1]]"
395777.a.395777.1,"[[0, 2, 3, 3, 2, 1], [1, 1]]"
395785.a.395785.1,"[[1, 4, 3, -3, -2], [1, 1, 0, 1]]"
395792.a.395792.1,"[[-9, -32, -35, -8, 4], [0, 0, 0, 1]]"
395840.a.395840.1,"[[3, -16, 22, 6, -16, -8, -1], [0, 1]]"
395878.a.791756.1,"[[0, -2, 0, 3, 3, 1], [0, 1]]"
395931.a.395931.1,"[[-1, 3, -2, -2, 0, 1], [1]]"
395936.a.791872.1,"[[-5, 2, 6, -1, -2], [0, 0, 0, 1]]"
395947.a.395947.1,"[[0, -1, 4, -4, 1, 1], [0, 1]]"
396019.a.396019.1,"[[20, -25, 6, 1, 0, -1], [1, 1, 0, 1]]"
396020.a.792040.1,"[[0, -1, -2, 0, 2, 2], [0, 1, 1]]"
396044.a.396044.1,"[[-3, 0, 4, 1, -2, -1], [1, 0, 0, 1]]"
396064.a.792128.1,"[[9, 5, -1, -3, -1], [0, 1, 0, 1]]"
396102.a.396102.1,"[[-1, -1, -1, 0, 1, 1], [0, 1]]"
396103.a.396103.1,"[[-4, 5, 3, -5, -1, 1], [0, 1]]"
396148.a.792296.1,"[[0, 2, 6, 2, -2], [1, 1, 0, 1]]"
396153.a.396153.1,"[[0, -1, 0, 2], [1, 1, 1, 1]]"
396171.a.396171.1,"[[-6, 4, 5, -4, -1, 1], [1]]"
396223.a.396223.1,"[[-1, -2, 0, 3, 2], [1, 0, 1, 1]]"
