cond,disc,data
42201,7475780547,"[[-13,-17,18,17,-12,-5,2],[1,1,1,1]]"
42201,67282024923,"[[0,9,9,3,1,-2],[0,0,0,1]]"
42201,126603,"[[0,-1,1,-3,-4,-1],[0,1]]"
42201,15771136351573827,"[[-11,-59,-54,34,39,-3],[0,0,1]]"
42201,5449844018763,"[[6,-33,48,3,-24,-6,-1],[0,0,0,1]]"
42204,126612,"[[-1,2,-1,2,-2,-1],[0,1,1,1]]"
42204,518602752,"[[-79,19,37,-7,-6],[0,1,1,1]]"
42205,211025,"[[0,1,-1,-1,1,1],[1,1,0,1]]"
42208,43220992,"[[1,0,-3,-1,4,-1],[0,0,1,1]]"
42208,21192508223626752,"[[-39,36,-45,-9,-7,-5,-1],[0,0,1,1]]"
42208,10805248,"[[1,0,-1,-3,0,-1],[0,0,1,1]]"
42208,345767936,"[[-8,8,-20,12,-14,4,-3],[0,0,0,1]]"
42215,2921549695951075,"[[0,-5,63,21,-18,-5,-1],[0,1,0,1]]"
42215,3298046875,"[[0,1,-28,9,0,-1],[0,1]]"
42220,45333379809280,"[[0,-16,40,-9,-1,5,1],[]]"
42224,15369536,"[[1,1,-1,-1,-3,-2,-1],[0,1,0,1]]"
42227,3437393898358082592532205867,"[[19,187,-385,434,33,-154,52],[1,0,0,1]]"
42228,130268468199638827008,"[[74,13,-205,-36,177,24,-48],[1,1]]"
42228,26597559168,"[[1,-1,-6,9,-10,3,-1],[1,0,0,1]]"
42228,17482392,"[[-29,114,-108,-43,50,25,3],[0,1,1]]"
42228,33022296,"[[3,-7,6,-5,1,1],[0,1,1]]"
42228,1520208,"[[1,0,2,2,0,-1],[0,0,0,1]]"
42228,439340112,"[[49,34,31,4,2,-1],[0,0,0,1]]"
42228,2206107947630592,"[[-25,-5,68,12,-59,-8,16],[1,1]]"
42228,26597559168,"[[2,-2,1,-4,5,-5,1],[1,1,1]]"
42228,2833873108992,"[[8,-12,-34,19,30,-9,-6],[]]"
42228,8263573985820672,"[[-298,93,-56,11,0,1],[]]"
42229,618274789,"[[7,42,78,39,-14,1],[1]]"
42229,708485054464,"[[0,-1,-13,-45,-19,21,13],[]]"
42229,618274789,"[[-292,9,84,-1,-8],[0,0,0,1]]"
42237,8200677829141037418338511,"[[76,-209,95,-95,-24,-29,14],[0,0,1,1]]"
42237,2125857816576,"[[0,3,-5,-9,-19,-15,-3],[]]"
42237,2505456603,"[[-3,6,6,7,2,1],[0,1,1,1]]"
42237,1316158170109055388128403,"[[-57,152,166,133,-10,-38,-5],[0,1,0,1]]"
42238,162544102469009408,"[[-4,7,-14,15,-40,-16],[]]"
42238,12980920064,"[[-1,16,14,-7,-3,1],[0,1,1]]"
42238,271274737664,"[[0,7,-8,21,-4,-1],[0,1,1]]"
42238,12980920064,"[[-5,-14,-6,10,3,-1],[0,1,1]]"
42238,44918160684761825216,"[[0,-49,-105,-140,-107,-46,-2],[0,0,1,1]]"
42240,14273740800,"[[1,4,6,12,11,8,6],[]]"
42240,10813440,"[[2,-5,-4,11,5,-6,-3],[]]"
42240,57094963200,"[[-3,-8,-10,-14,-7,-6],[]]"
42240,356843520,"[[0,3,4,-5,-5,2,1],[]]"
42240,422400000000000000,"[[0,-10,-111,-114,50,16,1],[]]"
42240,52848269149486532860723200,"[[70,-112,203,-105,-126,-77,-21],[]]"
42240,166094438400,"[[1,-14,42,-40,9,-2],[]]"
42240,583925760000,"[[2,0,-18,8,23,-6,-9],[]]"
42240,2703360,"[[0,2,-3,-5,5,4],[]]"
42240,2595225600,"[[6,8,2,0,-9,-6,-1],[]]"
42240,173015040,"[[0,-4,-11,6,-8,2,-1],[]]"
42240,17027275161600,"[[7,-24,-2,8,-7,-4],[]]"
42240,41523609600,"[[0,6,13,-12,2,-2,1],[]]"
42240,2112000,"[[1,6,5,-5,1,-2],[1]]"
42240,2703360,"[[3,0,-4,-8,-5,-2],[]]"
42240,37371248640000,"[[-4,0,-8,-8,11,8,1],[]]"
42240,13516800,"[[1,2,6,6,8,4,3],[]]"
42240,22302720,"[[0,1,1,-6,1,3],[]]"
42240,54067200,"[[6,-6,-29,14,43,-8,-20],[]]"
42240,356400000000000000,"[[12,-26,29,-14,15,-10,-6],[]]"
42240,18247680,"[[1,1,2,3,1,2,1],[0,1]]"
42240,660000000000000,"[[21,6,7,-19,-8,3,1],[0,0,1]]"
42240,31680000,"[[-4,2,-5,3,-3,1,-1],[0,0,0,1]]"
42240,46714060800,"[[12,-14,37,-26,34,-12,9],[]]"
42240,1346884070400000000000000,"[[0,162,-189,31,-55,11,40],[]]"
42240,675840,"[[-2,1,8,0,-9,-4],[]]"
42240,48575324160,"[[0,1,1,6,-11,-9],[]]"
42240,435600000000000000,"[[-24,2,7,14,31,12],[]]"
42240,2469287462400,"[[89,-83,-98,67,42,-14,-7],[1,1,1,1]]"
42240,118947840,"[[0,-4,0,11,4,-6,-3],[]]"
42240,951582720,"[[0,-4,10,16,-27,-30,-7],[]]"
42240,21550145126400,"[[0,4,-3,3,-23,-6],[]]"
42240,929280,"[[-4,2,7,-1,-3],[0,0,0,1]]"
42240,1267200,"[[-4,6,-9,7,-5,2,-1],[0,0,0,1]]"
42240,4954525232764362455692800,"[[47,-200,281,-71,36,-39,26],[1,1,1,1]]"
42240,929280,"[[1,7,9,-5,-4],[1,1,1,1]]"
42240,945959731200,"[[5,4,18,12,19,8,6],[]]"
42240,39600000000000000,"[[0,12,20,47,29,11,6],[]]"
42240,16220160000000000000,"[[0,24,-56,-35,-31,16],[]]"
42240,3140222976000000,"[[8,0,-8,36,-25,-2],[]]"
42240,32440320,"[[0,-3,2,3,2,1],[]]"
42240,38063308800,"[[0,-2,-1,4,2,6,3],[]]"
42240,32440320,"[[0,-3,-2,3,-2,1],[]]"
42240,37171200,"[[-1,-4,-4,-4,-3],[1,1,1,1]]"
42240,1903165440,"[[0,-1,-14,-41,64,44],[]]"
42240,802897920,"[[0,-2,9,-1,-11,-4],[]]"
42240,4646400,"[[8,10,-9,-9,4,2,-1],[0,0,0,1]]"
42241,2238773,"[[1,4,-7,-2,3,1],[1]]"
42242,42242,"[[1,3,1,-2,0,-1],[0,0,1,1]]"
42246,808245233496,"[[6,-207,203,-2,-25,-3],[0,1,1]]"
42246,808245233496,"[[-13,-14,-27,-14,-16,-3,-3],[1,1,1]]"
42248,692191232,"[[-5,-6,-28,-20,-47,-16,-24],[]]"
42248,43261952,"[[2,2,6,3,4,1,1],[1,0,1]]"
42250,21125000,"[[0,-1,6,3,0,-1],[0,0,1,1]]"
42256,52251403264,"[[-3,10,-15,4,5,2],[1,0,1]]"
42260,357181520,"[[-3,4,-3,1,3,1],[0,0,1]]"
42260,226881647411200,"[[0,-16,-4,21,7,-11,-6],[0,0,1]]"
42260,169040,"[[3,-2,-5,5,3,-2],[1,0,0,1]]"
42260,422600,"[[-2,6,-4,-6,2,2],[1,1,0,1]]"
42264,188415034672545792,"[[0,-16,28,61,4,8],[0,0,1]]"
42266,86560768,"[[1,-3,-7,-2],[0,1,1,1]]"
42272,10867016923477180416,"[[-51,18,18,3,-25,-9,-3],[0,0,1]]"
42272,111784722963501974290677907456,"[[-819,770,-238,399,-219,-7,-35],[0,0,1]]"
42273,27457962147,"[[-9,6,1,-8,0,0,-1],[0,1,1]]"
42276,2837094334464,"[[8,19,5,-10,-2,4],[1,1,1]]"
