labels,polynomials,possibly nonmaximal primes,probably nonmaximal primes,torsion primes
249.a.249.1,"[[0, 1, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}","{2, 7}","{2, 7}"
249.a.6723.1,"[[2, 3, 1, 1, 0, -1], [1, 0, 0, 1]]","{2, 3, 5, 7}","{2, 7}","{2, 7}"
277.a.277.1,"[[0, -1, -1], [1, 1, 1, 1]]","{2, 3, 5, 7}","{2, 3, 5}","{3, 5}"
277.a.277.2,"[[-6, 11, -19, 14, -9, 1], [1]]","{2, 3, 5, 7}","{2, 3, 5}",{5}
295.a.295.1,"[[0, 0, -1], [1, 0, 0, 1]]","{2, 3, 5, 7}","{2, 7}","{2, 7}"
295.a.295.2,"[[-608, 389, 22, -40, 0, 1], [1, 1, 1]]","{2, 3, 5, 7}","{2, 7}",{2}
349.a.349.1,"[[0, 0, -1, -1], [1, 1, 1, 1]]","{2, 3, 5, 7, 13}","{2, 13}",{13}
353.a.353.1,"[[0, 0, 1], [1, 1, 0, 1]]","{2, 3, 5, 7, 11}","{2, 11}",{11}
388.a.776.1,"[[0, 1, 2, 0, -1], [1, 1, 0, 1]]","{2, 3, 5, 7}","{2, 3, 7}","{3, 7}"
389.a.389.1,"[[7, 16, 0, -8, -2, 1], [0, 1, 0, 1]]","{2, 3, 5, 7, 29}","{2, 5}","{2, 5}"
389.a.389.2,"[[0, 0, 1, 2, 2, 1], [1, 1]]","{2, 3, 5, 7, 29}","{2, 5}","{2, 5}"
394.a.394.1,"[[-9, 17, 0, -12, 1, 2], [0, 1, 0, 1]]","{2, 3, 5, 7}","{2, 5}","{2, 5}"
394.a.3152.1,"[[0, 0, 0, 0, 0, -1], [1, 1]]","{2, 3, 5, 7}","{2, 5}","{2, 5}"
427.a.2989.1,"[[-4, 4, 4, -5, -1, 1], [1, 0, 0, 1]]","{2, 3, 5, 7}","{2, 7}","{2, 7}"
461.a.461.1,"[[-2, 3, 0, -3, 0, 1], [0, 0, 0, 1]]","{2, 3, 5, 7}","{2, 7}",{7}
461.a.461.2,"[[-306, 272, 10, -39, -1, 1], [1]]","{2, 3, 5, 7}","{2, 7}",{}
464.a.464.1,"[[0, 0, 0, -1, -2, -2, -1], [1, 1]]","{2, 3, 5, 7}",{2},{2}
464.a.29696.1,"[[0, 0, -2, -4, 3, 8], [1, 1]]","{2, 3, 5, 7}",{2},{2}
464.a.29696.2,"[[0, 1, 16, 72, 33, 4], [0, 1]]","{2, 3, 5, 7}",{2},{2}
472.a.944.1,"[[0, 1, 0, -2, -1, 1], [1, 0, 1]]","{2, 3, 5, 7}",{2},{2}
472.a.60416.1,"[[0, 0, 2, 4, 5, 8], [1, 1]]","{2, 3, 5, 7}",{2},{2}
523.a.523.1,"[[0, 0, 0, -1, -1, 1], [1, 1]]","{2, 3, 5, 7}","{2, 5}","{2, 5}"
523.a.523.2,"[[0, -1, 21, -110, -31, 1], [0, 1]]","{2, 3, 5, 7}","{2, 5}",{2}
555.a.8325.1,"[[0, 1, 1, -4, -2, 3], [1, 1]]","{2, 3, 5, 7}","{2, 5}","{2, 5}"
574.a.293888.1,"[[1, 1, -3, 0, -1, 1], [0, 1, 1]]","{2, 3, 5, 7}","{2, 5}","{2, 5}"
587.a.587.1,"[[0, -1, -1], [1, 1, 0, 1]]","{2, 3, 5, 7}",{},{}
597.a.597.1,"[[0, 1, 2, 3, 2, 1], [1]]","{2, 3, 5, 7}","{2, 7}",{7}
